window,test_start_date,test_end_date,forecast_date,start_price,actual_forecast_price,predicted_price,actual_return_pct,predicted_return_pct,realized_sharpe,realized_sortino,realized_max_drawdown,realized_volatility,realized_total_return,predicted_sharpe,predicted_sortino,predicted_max_drawdown,predicted_volatility,predicted_var_5,var_5_breached,predicted_var_1,var_1_breached,predicted_prob_profit,actual_profit
34,2000-05-23 00:00:00-04:00,2001-05-22 00:00:00-04:00,2002-05-29 00:00:00-04:00,0.644025444984436,0.3599409759044647,0.7188751561737212,-44.11075234563701,6.502654522327217,-0.23159850230656054,-0.25833287626570267,-77.93104445506364,85.91867837730017,-45.22941050929046,-0.08390368070740375,-0.1006844168488845,31.484288875118402,75.74952746980198,-36.178254113838435,True,-56.922730787351455,False,0.7357,False
35,2000-11-20 00:00:00-05:00,2001-11-26 00:00:00-05:00,2002-11-25 00:00:00-05:00,0.2842532992362976,0.23971101641654968,0.28539663226706213,-15.669926414018597,2.7768002527063294,0.4474968849014644,0.7061792965704539,-43.66298771959421,64.21880569856046,12.844720012396785,-0.3660490500740499,-0.4392588600888599,39.33284006060303,92.75529007795959,-77.42980636596775,False,-86.87629613487967,False,0.34615,True
36,2001-05-23 00:00:00-04:00,2002-05-29 00:00:00-04:00,2003-05-29 00:00:00-04:00,0.34868323802948,0.27168166637420654,0.36411387100994796,-22.083531198813525,3.225449384304617,0.25286830884030165,0.38541125964576495,-40.31870139699479,53.53969745506161,3.228643263325706,0.13946631194899567,0.1673595743387948,41.7542725722142,66.79829124901347,-78.3212916963976,False,-89.22797532948483,False,0.36445,True
37,2001-11-27 00:00:00-05:00,2002-11-25 00:00:00-05:00,2003-11-25 00:00:00-05:00,0.3152112066745758,0.31040823459625244,0.319238306349361,-1.52373138283816,-0.47590418622842384,-0.38681485060449544,-0.5789355873557267,-47.950872840104346,49.55357531790395,-23.952254443787133,0.10687268290354701,0.1282472194842564,47.54467364945331,60.51393485006449,-84.92208854080455,False,-94.47897741264488,False,0.19025,False
38,2002-05-30 00:00:00-04:00,2003-05-29 00:00:00-04:00,2004-05-27 00:00:00-04:00,0.36324363946914673,0.42283356189727783,0.3593542254673364,16.404945869174007,-0.16301295945923372,-0.5229702953540837,-0.7025236072179064,-43.69085010868658,44.41915367421471,-25.206765692787116,0.05620599191395759,0.0674471902967491,44.448820704500584,55.90461660909687,-80.47587163478765,False,-89.09495211680081,False,0.2109,False
39,2002-11-26 00:00:00-05:00,2003-11-25 00:00:00-05:00,2004-11-26 00:00:00-05:00,0.231305330991745,0.9688998460769653,0.24154116347719345,318.88349132409064,0.7634805809105918,0.8698958132107977,1.4798207335940448,-18.291613619573646,37.12767863696936,34.19847837719336,0.04583478216591288,0.055001738599095455,37.11047972601888,48.642077366926564,-64.0395685200045,False,-76.01280647967673,False,0.33325,True
40,2003-05-30 00:00:00-04:00,2004-05-27 00:00:00-04:00,2005-05-27 00:00:00-04:00,0.2694306969642639,1.2176157236099243,0.27148624463351606,351.92167682787215,-0.07193041153587404,1.2970263802320245,2.3637703314941994,-20.628421562498325,36.99909791374687,56.93592699771719,0.11018348129681256,0.13222017755617507,35.635083959607584,46.30594021559028,-63.08640696134205,False,-74.41575237338536,False,0.3038,True
41,2003-11-26 00:00:00-05:00,2004-11-26 00:00:00-05:00,2005-11-25 00:00:00-05:00,0.31100839376449585,2.0815951824188232,0.3124772671951496,569.3051455051933,0.6665520976234302,2.9782550874901452,6.385680105072952,-13.531205532693313,39.58166610524504,211.53495066459303,-0.009638077985532043,-0.011565693582638452,29.34012547596068,40.36392877787575,-51.011129980783544,False,-63.27670160062379,False,0.39845,True
42,2004-05-28 00:00:00-04:00,2005-05-27 00:00:00-04:00,2006-05-30 00:00:00-04:00,0.42118188738822937,1.8378325700759888,0.428631287204128,336.3512831647352,1.3711601512508669,2.6169488314378224,4.364359278638422,-24.26491243838441,42.67588661059435,189.09498724183567,0.09253965251872498,0.11104758302246998,25.41056465208099,35.80012208747144,-46.251734321436885,False,-60.807459943418905,False,0.4959,True
43,2004-11-29 00:00:00-05:00,2005-11-25 00:00:00-05:00,2006-11-27 00:00:00-05:00,1.027288556098938,2.688001871109009,1.0312447023360964,161.65986714740816,6.434602762252757,1.8983615314154152,2.8925141492638504,-24.264912438384407,39.307903846136306,102.6300371069592,0.3300854982078852,0.3961025978494622,16.30975964847455,52.824160638870836,2.863947127188289,False,-17.801367856816267,False,0.9519,True
44,2005-05-31 00:00:00-04:00,2006-05-30 00:00:00-04:00,2007-05-31 00:00:00-04:00,1.1935999393463135,3.638137102127075,1.301821367903299,204.80372712816458,6.915617354523486,1.2086717896261177,2.1831556480239276,-31.405521940559023,38.59825036609206,53.97391617517135,-0.03829756863475301,-0.045957082361703615,17.10219770018171,46.69047107489782,14.725990299272812,False,-16.233345936771613,False,0.9543,True
45,2005-11-28 00:00:00-05:00,2006-11-27 00:00:00-05:00,2007-11-28 00:00:00-05:00,2.0912013053894043,5.410224914550781,2.2603684722620425,158.71373074450807,8.588283223997657,0.7393360992675726,1.3893645649335313,-40.79914736433434,38.43046555453529,28.538647340241297,0.2197482440697479,0.2636978928836975,15.331166865877048,45.04908809522991,41.08982932903095,False,5.215960652618814,False,0.98675,True
46,2006-05-31 00:00:00-04:00,2007-05-31 00:00:00-04:00,2008-05-30 00:00:00-04:00,1.794302225112915,5.6662983894348145,1.9630349901553679,215.79397885873078,6.81250414852547,2.1789175539898107,4.012737555361383,-18.49765762002441,33.23682354141282,102.76055233103934,-0.046857558186925954,-0.05622906982431115,17.37966742495893,41.35453804592039,9.828726503898453,False,-11.93611486898219,False,0.94805,True
47,2006-11-28 00:00:00-05:00,2007-11-28 00:00:00-05:00,2008-11-26 00:00:00-05:00,2.756147623062134,2.8519108295440674,2.8193451554281115,3.4745311056865233,4.886279497451157,1.8741319086814159,2.8250396860408395,-19.828969789576778,37.789683398738994,96.29663045914485,0.1511928157653376,0.18143137891840513,19.281401184269377,33.272735430808524,-10.426701468877676,False,-30.537040079446108,False,0.8619,True
48,2007-06-01 00:00:00-04:00,2008-05-30 00:00:00-04:00,2009-06-01 00:00:00-04:00,3.5543816089630127,4.183303356170654,3.8237088224008393,17.694266299985976,5.100734663497638,1.1911038957420002,1.724727184753194,-40.37432103044005,44.11296198270841,59.41727740055327,0.17032574398254463,0.20439089277905356,16.67585199401126,33.23119496384719,0.05081755191149803,False,-23.44813757712025,False,0.9114,True
49,2007-11-29 00:00:00-05:00,2008-11-26 00:00:00-05:00,2009-11-27 00:00:00-05:00,5.532406330108643,6.0217366218566895,5.658186591432336,8.84480030118174,4.583204594963552,-0.9489600477779024,-1.356175683538245,-59.7207575605225,57.01634099765387,-48.450806766970366,0.16163253307465839,0.19395903968959005,18.964116224462895,50.36189161122843,-13.915786331268986,False,-32.693776262450925,False,0.8576,False
50,2008-06-02 00:00:00-04:00,2009-06-01 00:00:00-04:00,2010-06-01 00:00:00-04:00,5.586742401123047,7.830146789550781,5.968394655519238,40.15585876980412,5.331457069887137,-0.28394838600289335,-0.4285797094677831,-58.71826591171582,57.68527502055753,-25.120883409091377,0.21742990450148003,0.260915885401776,18.067376906060396,38.99856969583902,-7.203375652051224,False,-27.091851290549762,False,0.89555,False
51,2008-11-28 00:00:00-05:00,2009-11-27 00:00:00-05:00,2010-11-29 00:00:00-05:00,2.7819643020629883,9.512478828430176,2.887086738806413,241.93389258719532,1.2334154664986148,2.201712391589094,3.5621752402712907,-21.846892396354487,36.40396329126563,116.45628656669756,-0.254637268824673,-0.3055647225896076,30.935675743757127,76.2091427876182,-52.30771266729985,False,-68.24115247732446,False,0.4265,True
52,2009-06-02 00:00:00-04:00,2010-06-01 00:00:00-04:00,2011-05-31 00:00:00-04:00,4.187505722045898,10.44189739227295,4.253847726458938,149.3584029581058,1.6863316924942922,2.2430653513634313,3.5343658311683517,-12.91215767867993,27.958851495789528,86.9883245371469,0.24274778753054757,0.29129734503665705,31.36700112492162,44.331708788206164,-54.69889205553638,False,-69.38092090660504,False,0.4516,True
53,2009-11-30 00:00:00-05:00,2010-11-29 00:00:00-05:00,2011-11-28 00:00:00-05:00,6.001323223114014,11.291163444519043,6.106807094990206,88.14456453588906,1.41272324705704,1.6647907417111503,2.6648442496753493,-12.91215767867991,27.62875228114321,58.50635726122857,0.08738412700841229,0.10486095241009474,31.079937379358142,33.417393622968355,-53.592532955137145,False,-68.78011999897382,False,0.4381,True
54,2010-06-02 00:00:00-04:00,2011-05-31 00:00:00-04:00,2012-05-30 00:00:00-04:00,7.923812389373779,17.386751174926758,8.003077607477367,119.42406408111381,2.2085258753687813,1.1833783954478114,1.856259532538507,-12.456683914281228,22.011053961522613,31.778705491261316,0.11882414353701883,0.14258897224442257,27.514366851362695,41.59876237664497,-40.65595810416805,False,-58.591288154467144,False,0.55095,True
55,2010-11-30 00:00:00-05:00,2011-11-28 00:00:00-05:00,2012-11-29 00:00:00-05:00,9.3407621383667,17.84977912902832,10.03175359044303,91.09553229828295,5.458879555777671,0.7092149927051677,1.0779113387855535,-13.894946886448453,25.759569374227965,20.880537125992866,0.13811697816569207,0.16574037379883047,14.360104686348414,28.227082867290534,6.298057806100234,False,-15.708461489726572,False,0.95625,True
56,2011-06-01 00:00:00-04:00,2012-05-30 00:00:00-04:00,2013-06-03 00:00:00-04:00,10.372251510620117,13.821268081665039,10.867681178941115,33.252342247133946,4.077647679082232,1.743932027022786,2.9664625145969077,-16.677974459700042,29.9777212814972,67.62755084683894,0.0006294221443912312,0.0007553065732694774,11.366765849290871,23.34350847055814,5.509571580332288,False,-10.447894335936367,False,0.95485,True
57,2011-11-29 00:00:00-05:00,2012-11-29 00:00:00-05:00,2013-11-29 00:00:00-05:00,11.203506469726562,17.264610290527344,11.620602593224671,54.10006087985694,2.917672304757432,1.6723269907423297,2.825235459541278,-24.79409669985239,27.831518213092487,59.323147420505485,-0.012805020474906037,-0.015366024569887244,12.505452197803601,30.87167337023096,-11.092987657314838,False,-24.956588705627638,False,0.85005,True
58,2012-05-31 00:00:00-04:00,2013-06-03 00:00:00-04:00,2014-06-03 00:00:00-04:00,17.34351921081543,20.023757934570312,18.014869927118866,15.453834318028628,3.6126286381662194,-0.7201395755364641,-0.9150964093605456,-43.797143935336386,30.683444776554293,-20.308745222560788,0.040520208360587555,0.04862425003270506,12.555898174591306,33.929940187250935,-1.8928641948194067,False,-20.765603263776995,False,0.91835,False
59,2012-11-30 00:00:00-05:00,2013-11-29 00:00:00-05:00,2014-12-01 00:00:00-05:00,17.72620964050293,25.53478240966797,18.371378935696946,44.05100090502762,2.9221639265012986,-0.07341088655487542,-0.09169015405345338,-32.98997065777633,29.911655685038152,-2.604049931356275,-0.060102641665562256,-0.0721231699986747,14.068999142301944,33.909973795431995,-11.802138652005357,False,-21.324468062359607,False,0.8526,False
60,2013-06-04 00:00:00-04:00,2014-06-03 00:00:00-04:00,2015-06-03 00:00:00-04:00,13.77802848815918,29.109525680541992,14.036105290126915,111.27497091153992,1.5543957847606913,1.5149531971331538,2.2564989052857793,-12.333104629702184,23.984506442602452,45.331082395269426,0.04341095262700802,0.05209314315240962,18.731056701298883,26.309181719164226,-33.630893486268356,False,-44.9902989233681,False,0.622,True
61,2013-12-02 00:00:00-05:00,2014-12-01 00:00:00-05:00,2015-12-01 00:00:00-05:00,17.114347457885742,26.482173919677734,17.63048427516634,54.73668502315932,2.119213689055817,1.7969060471499927,2.4453805668442925,-12.333104629702191,21.365377089267216,49.20102839154618,0.07349381691851092,0.08819258030221311,16.181348221229605,24.16266942410402,-25.698173646468046,False,-40.535386764053314,False,0.71855,True
62,2014-06-04 00:00:00-04:00,2015-06-03 00:00:00-04:00,2016-06-02 00:00:00-04:00,20.252410888671875,22.308866500854492,20.205466868794122,10.154127444317702,0.9074666944015397,1.5957458929751334,2.477724150824372,-10.932795620482331,21.756572736655382,43.73363171702347,0.0978287117603145,0.1173944541123774,17.674746894866573,23.821869766052796,-30.833052767500085,False,-44.553272452905084,False,0.54925,True
63,2014-12-02 00:00:00-05:00,2015-12-01 00:00:00-05:00,2016-11-30 00:00:00-05:00,25.43715476989746,25.497941970825195,25.98853159950415,0.23897012648470595,1.7769847518433493,0.13081926296315471,0.19859076569250345,-21.844883995276597,26.554059646141692,4.108239145586195,0.05964792326142667,0.07157750791371201,14.993564161121123,23.267544458900122,-20.959937460051684,False,-37.14592896282981,False,0.70645,True
64,2015-06-04 00:00:00-04:00,2016-06-02 00:00:00-04:00,2017-06-02 00:00:00-04:00,28.939510345458984,36.167869567871094,30.07691561792807,24.977475901026573,3.3232761948873724,-0.9349929453802887,-1.2890019775429267,-30.19627136439565,28.0729090122745,-22.912080285577236,0.010994665273135027,0.013193598327762032,10.640273549249653,21.59935763216545,-3.056540100024684,False,-13.903487267860099,False,0.93485,False
